theme,month,post_only_count,eligible_posts,rate_per_1k,rate_per_1k_charted,days_observed,coverage_start
sexual_erp,2025-08,36,16688,2.1572,2.1572,31,2022-08-01
sexual_erp,2025-09,33,12663,2.606,2.606,30,2022-08-01
sexual_erp,2025-10,40,14828,2.6976,2.6976,31,2022-08-01
sexual_erp,2025-11,45,12250,3.6735,3.6735,30,2022-08-01
sexual_erp,2025-12,46,11655,3.9468,3.9468,31,2022-08-01
sexual_erp,2026-01,36,11854,3.0369,3.0369,31,2022-08-01
sexual_erp,2026-02,38,16824,2.2587,2.2587,28,2022-08-01
sexual_erp,2026-03,53,15245,3.4765,3.4765,31,2022-08-01
sexual_erp,2026-04,22,12822,1.7158,1.7158,30,2022-08-01
sexual_erp,2026-05,45,16060,2.802,2.802,31,2022-08-01
sexual_erp,2026-06,26,11989,2.1687,2.1687,30,2022-08-01
sexual_erp,2026-07,48,9380,5.1173,5.1173,31,2022-08-01
sexual_erp,2026-08,36,9777,3.6821,3.6821,31,2022-08-01
consciousness,2025-04,5,18673,0.2678,0.2678,30,2025-04-01
consciousness,2025-05,11,14654,0.7506,0.7506,31,2025-04-01
consciousness,2025-06,14,18848,0.7428,0.7428,30,2025-04-01
consciousness,2025-07,39,19174,2.034,2.034,31,2025-04-01
consciousness,2025-08,25,16688,1.4981,1.4981,31,2025-04-01
consciousness,2025-09,27,12663,2.1322,2.1322,30,2025-04-01
consciousness,2025-10,28,14828,1.8883,1.8883,31,2025-04-01
consciousness,2025-11,38,12250,3.102,3.102,30,2025-04-01
consciousness,2025-12,17,11655,1.4586,1.4586,31,2025-04-01
consciousness,2026-01,38,11854,3.2057,3.2057,31,2025-04-01
consciousness,2026-02,43,16824,2.5559,2.5559,28,2025-04-01
consciousness,2026-03,24,15245,1.5743,1.5743,31,2025-04-01
consciousness,2026-04,24,12822,1.8718,1.8718,30,2025-04-01
consciousness,2026-05,15,16060,0.934,0.934,31,2025-04-01
consciousness,2026-06,17,11989,1.418,1.418,30,2025-04-01
consciousness,2026-07,29,9380,3.0917,3.0917,31,2025-04-01
consciousness,2026-08,19,9777,1.9433,1.9433,31,2025-04-01
therapy,2023-01,16,10122,1.5807,1.5807,31,2023-01-01
therapy,2023-02,39,12779,3.0519,3.0519,28,2023-01-01
therapy,2023-03,26,8671,2.9985,2.9985,31,2023-01-01
therapy,2023-04,16,12994,1.2313,1.2313,30,2023-01-01
therapy,2023-05,33,20303,1.6254,1.6254,31,2023-01-01
therapy,2023-06,19,16753,1.1341,1.1341,30,2023-01-01
therapy,2023-07,22,30434,0.7229,0.7229,31,2023-01-01
therapy,2023-08,17,22907,0.7421,0.7421,31,2023-01-01
therapy,2023-09,8,15885,0.5036,0.5036,30,2023-01-01
therapy,2023-10,17,19029,0.8934,0.8934,31,2023-01-01
therapy,2023-11,28,23565,1.1882,1.1882,30,2023-01-01
therapy,2023-12,19,25125,0.7562,0.7562,31,2023-01-01
therapy,2024-01,12,17001,0.7058,0.7058,31,2023-01-01
therapy,2024-02,15,12925,1.1605,1.1605,29,2023-01-01
therapy,2024-03,23,17548,1.3107,1.3107,31,2023-01-01
therapy,2024-04,14,16681,0.8393,0.8393,30,2023-01-01
therapy,2024-05,18,16896,1.0653,1.0653,31,2023-01-01
therapy,2024-06,29,36717,0.7898,0.7898,30,2023-01-01
therapy,2024-07,15,20891,0.718,0.718,31,2023-01-01
therapy,2024-08,31,28739,1.0787,1.0787,31,2023-01-01
therapy,2024-09,25,24454,1.0223,1.0223,30,2023-01-01
therapy,2024-10,40,21429,1.8666,1.8666,31,2023-01-01
therapy,2024-11,39,23462,1.6623,1.6623,30,2023-01-01
therapy,2024-12,14,26389,0.5305,0.5305,31,2023-01-01
therapy,2025-01,20,26619,0.7513,0.7513,31,2023-01-01
therapy,2025-02,13,15567,0.8351,0.8351,28,2023-01-01
therapy,2025-03,10,15137,0.6606,0.6606,31,2023-01-01
therapy,2025-04,19,18673,1.0175,1.0175,30,2023-01-01
therapy,2025-05,37,14654,2.5249,2.5249,31,2023-01-01
therapy,2025-06,43,18848,2.2814,2.2814,30,2023-01-01
therapy,2025-07,41,19174,2.1383,2.1383,31,2023-01-01
therapy,2025-08,51,16688,3.0561,3.0561,31,2023-01-01
therapy,2025-09,41,12663,3.2378,3.2378,30,2023-01-01
therapy,2025-10,30,14828,2.0232,2.0232,31,2023-01-01
therapy,2025-11,63,12250,5.1429,5.1429,30,2023-01-01
therapy,2025-12,50,11655,4.29,4.29,31,2023-01-01
therapy,2026-01,65,11854,5.4834,5.4834,31,2023-01-01
therapy,2026-02,128,16824,7.6082,7.6082,28,2023-01-01
therapy,2026-03,39,15245,2.5582,2.5582,31,2023-01-01
therapy,2026-04,50,12822,3.8995,3.8995,30,2023-01-01
therapy,2026-05,48,16060,2.9888,2.9888,31,2023-01-01
therapy,2026-06,37,11989,3.0862,3.0862,30,2023-01-01
therapy,2026-07,43,9380,4.5842,4.5842,31,2023-01-01
therapy,2026-08,34,9777,3.4775,3.4775,31,2023-01-01
addiction,2023-01,5,10122,0.494,0.494,31,2023-01-01
addiction,2023-02,12,12779,0.939,0.939,28,2023-01-01
addiction,2023-03,5,8671,0.5766,0.5766,31,2023-01-01
addiction,2023-04,6,12994,0.4618,0.4618,30,2023-01-01
addiction,2023-05,14,20303,0.6896,0.6896,31,2023-01-01
addiction,2023-06,11,16753,0.6566,0.6566,30,2023-01-01
addiction,2023-07,26,30434,0.8543,0.8543,31,2023-01-01
addiction,2023-08,15,22907,0.6548,0.6548,31,2023-01-01
addiction,2023-09,12,15885,0.7554,0.7554,30,2023-01-01
addiction,2023-10,17,19029,0.8934,0.8934,31,2023-01-01
addiction,2023-11,17,23565,0.7214,0.7214,30,2023-01-01
addiction,2023-12,33,25125,1.3134,1.3134,31,2023-01-01
addiction,2024-01,27,17001,1.5881,1.5881,31,2023-01-01
addiction,2024-02,20,12925,1.5474,1.5474,29,2023-01-01
addiction,2024-03,13,17548,0.7408,0.7408,31,2023-01-01
addiction,2024-04,14,16681,0.8393,0.8393,30,2023-01-01
addiction,2024-05,14,16896,0.8286,0.8286,31,2023-01-01
addiction,2024-06,58,36717,1.5796,1.5796,30,2023-01-01
addiction,2024-07,18,20891,0.8616,0.8616,31,2023-01-01
addiction,2024-08,34,28739,1.1831,1.1831,31,2023-01-01
addiction,2024-09,43,24454,1.7584,1.7584,30,2023-01-01
addiction,2024-10,67,21429,3.1266,3.1266,31,2023-01-01
addiction,2024-11,50,23462,2.1311,2.1311,30,2023-01-01
addiction,2024-12,68,26389,2.5768,2.5768,31,2023-01-01
addiction,2025-01,54,26619,2.0286,2.0286,31,2023-01-01
addiction,2025-02,40,15567,2.5695,2.5695,28,2023-01-01
addiction,2025-03,67,15137,4.4262,4.4262,31,2023-01-01
addiction,2025-04,79,18673,4.2307,4.2307,30,2023-01-01
addiction,2025-05,80,14654,5.4593,5.4593,31,2023-01-01
addiction,2025-06,82,18848,4.3506,4.3506,30,2023-01-01
addiction,2025-07,111,19174,5.7891,5.7891,31,2023-01-01
addiction,2025-08,123,16688,7.3706,7.3706,31,2023-01-01
addiction,2025-09,95,12663,7.5022,7.5022,30,2023-01-01
addiction,2025-10,122,14828,8.2277,8.2277,31,2023-01-01
addiction,2025-11,140,12250,11.4286,11.4286,30,2023-01-01
addiction,2025-12,135,11655,11.583,11.583,31,2023-01-01
addiction,2026-01,165,11854,13.9194,13.9194,31,2023-01-01
addiction,2026-02,143,16824,8.4998,8.4998,28,2023-01-01
addiction,2026-03,215,15245,14.103,14.103,31,2023-01-01
addiction,2026-04,172,12822,13.4144,13.4144,30,2023-01-01
addiction,2026-05,272,16060,16.9365,16.9365,31,2023-01-01
addiction,2026-06,157,11989,13.0953,13.0953,30,2023-01-01
addiction,2026-07,219,9380,23.3475,23.3475,31,2023-01-01
addiction,2026-08,194,9777,19.8425,19.8425,31,2023-01-01
rupture,2022-12,15,4986,3.0084,3.0084,31,2022-12-01
rupture,2023-01,73,10122,7.212,7.212,31,2022-12-01
rupture,2023-02,335,12779,26.2149,26.2149,28,2022-12-01
rupture,2023-03,110,8671,12.686,12.686,31,2022-12-01
rupture,2023-04,36,12994,2.7705,2.7705,30,2022-12-01
rupture,2023-05,66,20303,3.2508,3.2508,31,2022-12-01
rupture,2023-06,44,16753,2.6264,2.6264,30,2022-12-01
rupture,2023-07,43,30434,1.4129,1.4129,31,2022-12-01
rupture,2023-08,36,22907,1.5716,1.5716,31,2022-12-01
rupture,2023-09,67,15885,4.2178,4.2178,30,2022-12-01
rupture,2023-10,46,19029,2.4174,2.4174,31,2022-12-01
rupture,2023-11,65,23565,2.7583,2.7583,30,2022-12-01
rupture,2023-12,44,25125,1.7512,1.7512,31,2022-12-01
rupture,2024-01,56,17001,3.2939,3.2939,31,2022-12-01
rupture,2024-02,35,12925,2.7079,2.7079,29,2022-12-01
rupture,2024-03,40,17548,2.2795,2.2795,31,2022-12-01
rupture,2024-04,42,16681,2.5178,2.5178,30,2022-12-01
rupture,2024-05,31,16896,1.8348,1.8348,31,2022-12-01
